4 5
1 2 3
1 3 5
1 4 6
2 4 6
3 4 7
4 6
1 2 10
1 3 100
1 4 90
2 3 20
2 4 80
3 4 40
2 1
1 2 1
3 0
3 1
1 2 1
3 3
1 2 2
2 3 5
1 3 6
5 10
1 2 110
1 3 120
1 4 130
1 5 120
2 3 110
2 4 120
2 5 130
3 4 120
3 5 110
4 5 120
5 10
1 2 9384
1 3 887
1 4 2778
1 5 6916
2 3 7794
2 4 8336
2 5 5387
3 4 493
3 5 6650
4 5 1422
5 8
1 2 1
2 3 100
3 4 100
4 5 100
1 5 50
2 5 50
3 5 50
4 1 150
6 15
1 2 1
1 3 100
1 4 200
1 5 240
1 6 280
2 3 50
2 4 235
2 5 190
2 6 320
3 4 100
3 5 145
3 6 360
4 5 150
4 6 280
5 6 200
100 4950
1 2 100
2 100 164
3 99 165
3 100 163
4 98 164
4 99 165
5 97 163
5 98 164
6 96 165
6 97 163
7 95 164
7 96 165
8 94 163
8 95 164
9 93 165
9 94 163
10 92 164
10 93 165
11 91 163
11 92 164
12 90 165
12 91 163
13 89 164
13 90 165
14 88 163
14 89 164
15 87 165
15 88 163
16 86 164
16 87 165
17 85 163
17 86 164
18 84 165
18 85 163
19 83 164
19 84 165
20 82 163
20 83 164
21 81 165
21 82 163
22 80 164
22 81 165
23 79 163
23 80 164
24 78 165
24 79 163
25 77 164
25 78 165
26 76 163
26 77 164
27 75 165
27 76 163
28 74 164
28 75 165
29 73 163
29 74 164
30 72 165
30 73 163
31 71 164
31 72 165
32 70 163
32 71 164
33 69 165
33 70 163
34 68 164
34 69 165
35 67 163
35 68 164
36 66 165
36 67 163
37 65 164
37 66 165
38 64 163
38 65 164
39 63 165
39 64 163
40 62 164
40 63 165
41 61 163
41 62 164
42 60 165
42 61 163
43 59 164
43 60 165
44 58 163
44 59 164
45 57 165
45 58 163
46 56 164
46 57 165
47 55 163
47 56 164
48 54 165
48 55 163
49 53 164
49 54 165
50 52 163
50 53 164
51 52 165
1 3 200
1 4 262
2 3 263
4 100 261
5 99 262
5 100 263
6 98 261
6 99 262
7 97 263
7 98 261
8 96 262
8 97 263
9 95 261
9 96 262
10 94 263
10 95 261
11 93 262
11 94 263
12 92 261
12 93 262
13 91 263
13 92 261
14 90 262
14 91 263
15 89 261
15 90 262
16 88 263
16 89 261
17 87 262
17 88 263
18 86 261
18 87 262
19 85 263
19 86 261
20 84 262
20 85 263
21 83 261
21 84 262
22 82 263
22 83 261
23 81 262
23 82 263
24 80 261
24 81 262
25 79 263
25 80 261
26 78 262
26 79 263
27 77 261
27 78 262
28 76 263
28 77 261
29 75 262
29 76 263
30 74 261
30 75 262
31 73 263
31 74 261
32 72 262
32 73 263
33 71 261
33 72 262
34 70 263
34 71 261
35 69 262
35 70 263
36 68 261
36 69 262
37 67 263
37 68 261
38 66 262
38 67 263
39 65 261
39 66 262
40 64 263
40 65 261
41 63 262
41 64 263
42 62 261
42 63 262
43 61 263
43 62 261
44 60 262
44 61 263
45 59 261
45 60 262
46 58 263
46 59 261
47 57 262
47 58 263
48 56 261
48 57 262
49 55 263
49 56 261
50 54 262
50 55 263
51 53 261
51 54 262
52 53 263
1 5 300
1 6 360
2 4 361
2 5 359
3 4 360
6 100 361
7 99 359
7 100 360
8 98 361
8 99 359
9 97 360
9 98 361
10 96 359
10 97 360
11 95 361
11 96 359
12 94 360
12 95 361
13 93 359
13 94 360
14 92 361
14 93 359
15 91 360
15 92 361
16 90 359
16 91 360
17 89 361
17 90 359
18 88 360
18 89 361
19 87 359
19 88 360
20 86 361
20 87 359
21 85 360
21 86 361
22 84 359
22 85 360
23 83 361
23 84 359
24 82 360
24 83 361
25 81 359
25 82 360
26 80 361
26 81 359
27 79 360
27 80 361
28 78 359
28 79 360
29 77 361
29 78 359
30 76 360
30 77 361
31 75 359
31 76 360
32 74 361
32 75 359
33 73 360
33 74 361
34 72 359
34 73 360
35 71 361
35 72 359
36 70 360
36 71 361
37 69 359
37 70 360
38 68 361
38 69 359
39 67 360
39 68 361
40 66 359
40 67 360
41 65 361
41 66 359
42 64 360
42 65 361
43 63 359
43 64 360
44 62 361
44 63 359
45 61 360
45 62 361
46 60 359
46 61 360
47 59 361
47 60 359
48 58 360
48 59 361
49 57 359
49 58 360
50 56 361
50 57 359
51 55 360
51 56 361
52 54 359
52 55 360
53 54 361
1 7 400
1 8 458
2 6 459
2 7 457
3 5 458
3 6 459
4 5 457
8 100 458
9 99 459
9 100 457
10 98 458
10 99 459
11 97 457
11 98 458
12 96 459
12 97 457
13 95 458
13 96 459
14 94 457
14 95 458
15 93 459
15 94 457
16 92 458
16 93 459
17 91 457
17 92 458
18 90 459
18 91 457
19 89 458
19 90 459
20 88 457
20 89 458
21 87 459
21 88 457
22 86 458
22 87 459
